iter	Passed	Remaining
0	0	26
1	0	29
2	0	27
3	1	25
4	1	24
5	1	23
6	1	23
7	2	23
8	2	22
9	2	22
10	2	22
11	2	21
12	3	21
13	3	21
14	3	21
15	4	21
16	4	20
17	4	20
18	4	20
19	4	19
20	5	19
21	5	19
22	5	19
23	6	19
24	6	18
25	6	19
26	6	18
27	7	18
28	7	18
29	7	18
30	8	18
31	8	18
32	8	17
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	15
40	11	15
41	11	15
42	11	15
43	11	14
44	11	14
45	12	14
46	12	14
47	12	13
48	13	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	10
62	16	9
63	16	9
64	17	9
65	17	8
66	17	8
67	17	8
68	18	8
69	18	7
70	18	7
71	18	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	3
85	22	3
86	22	3
87	23	3
88	23	2
89	23	2
90	24	2
91	24	2
92	24	1
93	24	1
94	25	1
95	25	1
96	25	0
97	25	0
98	26	0
99	26	0
