iter	Passed	Remaining
0	56	56479
1	56	28394
2	57	19016
3	57	14323
4	57	11502
5	58	9632
6	58	8283
7	58	7280
8	59	6505
9	59	5881
10	59	5368
11	60	4940
12	60	4576
13	60	4272
14	61	4005
15	61	3768
16	61	3566
17	61	3382
18	62	3217
19	62	3066
20	62	2929
21	63	2805
22	63	2692
23	63	2590
24	64	2498
25	64	2410
26	64	2330
27	65	2256
28	65	2187
29	65	2124
30	66	2063
31	66	2005
32	66	1950
33	66	1900
34	67	1851
35	67	1806
36	67	1763
37	68	1723
38	68	1685
39	68	1652
40	69	1619
41	69	1588
42	70	1559
43	70	1530
44	70	1501
45	71	1475
46	71	1451
47	71	1427
48	72	1402
49	72	1380
50	73	1361
51	73	1340
52	73	1319
53	74	1298
54	74	1278
55	74	1261
56	75	1242
57	75	1225
58	75	1209
59	76	1195
60	76	1182
61	77	1169
62	77	1159
63	78	1147
64	78	1134
65	79	1120
66	79	1107
67	79	1093
68	80	1081
69	80	1069
70	80	1057
71	81	1045
72	81	1035
73	81	1025
74	82	1016
75	82	1006
76	83	995
77	83	986
78	83	976
79	84	968
80	84	961
81	85	952
82	85	940
83	85	933
84	85	925
85	86	919
86	86	912
87	87	903
88	87	895
89	87	888
90	88	879
91	88	871
92	88	864
93	88	856
94	89	849
95	89	842
96	89	834
97	89	828
98	90	821
99	90	815
100	90	808
101	91	802
102	91	796
103	91	790
104	92	784
105	92	779
106	92	773
107	92	767
108	93	762
109	93	756
110	93	750
111	94	745
112	94	740
113	94	734
114	94	729
115	95	725
116	95	720
117	95	716
118	96	712
119	96	709
120	97	705
121	97	700
122	97	695
123	97	691
124	98	687
125	98	683
126	98	678
127	99	674
128	99	670
129	99	666
130	100	663
131	100	659
132	100	655
133	100	651
134	101	648
135	101	644
136	101	640
137	102	637
138	102	633
139	102	630
140	102	626
141	102	622
142	103	618
143	103	615
144	103	611
145	104	608
146	104	605
147	104	601
148	104	598
149	105	595
150	105	592
151	105	589
152	105	586
153	106	583
154	106	580
155	106	577
156	107	575
157	107	572
158	107	569
159	107	566
160	108	563
161	108	561
162	108	558
163	109	555
164	109	552
165	109	550
166	109	547
167	110	545
168	110	542
169	110	540
170	111	538
171	111	535
172	111	533
173	111	531
174	112	529
175	112	527
176	112	524
177	113	522
178	113	520
179	113	518
180	114	516
181	114	513
182	114	511
183	114	509
184	115	508
185	115	506
186	116	504
187	116	502
188	116	500
189	116	498
190	117	495
191	117	493
192	117	491
193	117	489
194	118	487
195	118	485
196	118	483
197	118	482
198	119	480
199	119	478
200	119	476
201	120	474
202	120	472
203	120	470
204	120	468
205	121	466
206	121	464
207	121	463
208	121	461
209	122	459
210	122	458
211	123	457
212	123	456
213	123	454
214	124	453
215	124	451
216	124	449
217	124	448
218	125	446
219	125	445
220	125	443
221	126	442
222	126	441
223	126	439
224	127	437
225	127	436
226	127	434
227	128	433
228	128	432
229	128	430
230	128	429
231	129	427
232	129	426
233	129	425
234	130	423
235	130	422
236	130	421
237	131	420
238	131	419
239	132	418
240	132	417
241	132	416
242	133	414
243	133	413
244	133	411
245	133	410
246	134	408
247	134	407
248	134	406
249	134	404
250	135	403
251	135	402
252	135	401
253	136	399
254	136	398
255	136	397
256	137	396
257	137	394
258	137	393
259	137	392
260	138	391
261	138	390
262	138	389
263	139	387
264	139	386
265	139	385
266	139	384
267	140	383
268	140	381
269	140	380
270	141	379
271	141	378
272	141	377
273	142	376
274	142	375
275	142	374
276	143	373
277	143	372
278	143	371
279	144	371
280	144	370
281	145	369
282	145	368
283	145	367
284	146	366
285	146	365
286	147	365
287	147	364
288	147	363
289	148	362
290	148	361
291	148	360
292	148	359
293	149	358
294	149	357
295	149	356
296	150	355
297	150	354
298	150	353
299	150	352
300	151	351
301	151	350
302	151	349
303	152	348
304	152	347
305	152	346
306	152	345
307	153	343
308	153	342
309	153	341
310	153	341
311	154	340
312	154	339
313	154	338
314	155	337
315	155	336
316	155	335
317	155	334
318	156	333
319	156	332
320	156	331
321	157	330
322	157	329
323	157	328
324	157	327
325	158	326
326	158	326
327	158	325
328	158	324
329	159	323
330	159	322
331	159	321
332	160	320
333	160	319
334	160	318
335	160	318
336	161	317
337	161	316
338	161	315
339	162	314
340	162	313
341	162	313
342	162	312
343	163	311
344	163	310
345	163	309
346	164	308
347	164	307
348	164	307
349	164	306
350	165	305
351	165	304
352	165	303
353	165	302
354	166	301
355	166	301
356	166	300
357	167	299
358	167	298
359	167	297
360	167	297
361	168	296
362	168	295
363	168	294
364	168	293
365	169	293
366	169	292
367	169	291
368	170	290
369	170	289
370	170	289
371	170	288
372	171	287
373	171	287
374	171	286
375	172	285
376	172	284
377	172	284
378	172	283
379	173	282
380	173	281
381	173	280
382	173	280
383	174	279
384	174	278
385	174	277
386	175	277
387	175	276
388	175	275
389	175	275
390	176	274
391	176	273
392	176	272
393	176	272
394	177	271
395	177	270
396	177	270
397	178	269
398	178	268
399	178	268
400	178	267
401	179	266
402	179	265
403	179	265
404	179	264
405	180	263
406	180	262
407	180	262
408	181	261
409	181	260
410	181	260
411	181	259
412	182	258
413	182	258
414	182	257
415	182	256
416	183	256
417	183	255
418	183	254
419	183	254
420	184	253
421	184	252
422	184	252
423	185	251
424	185	250
425	185	250
426	185	249
427	186	248
428	186	248
429	186	247
430	186	246
431	187	246
432	187	245
433	187	244
434	188	244
435	188	243
436	188	243
437	188	242
438	189	241
439	189	241
440	189	240
441	190	239
442	190	239
443	190	238
444	190	238
445	191	237
446	191	236
447	191	236
448	191	235
449	192	235
450	192	234
451	192	233
452	193	233
453	193	232
454	193	232
455	193	231
456	194	230
457	194	230
458	194	229
459	195	229
460	195	228
461	195	227
462	195	227
463	196	226
464	196	226
465	196	225
466	197	224
467	197	224
468	197	223
469	197	223
470	198	222
471	198	221
472	198	221
473	198	220
474	199	220
475	199	219
476	199	218
477	199	218
478	200	217
479	200	217
480	200	216
481	201	216
482	201	215
483	201	214
484	201	214
485	202	213
486	202	213
487	202	212
488	202	212
489	203	211
490	203	210
491	203	210
492	204	209
493	204	209
494	204	208
495	204	208
496	205	207
497	205	207
498	205	206
499	205	205
500	206	205
501	206	204
502	206	204
503	207	203
504	207	203
505	207	202
506	207	202
507	208	201
508	208	201
509	208	200
510	208	199
511	209	199
512	209	198
513	209	198
514	210	197
515	210	197
516	210	196
517	210	196
518	211	195
519	211	195
520	211	194
521	211	194
522	212	193
523	212	193
524	212	192
525	213	192
526	213	191
527	213	191
528	213	190
529	214	189
530	214	189
531	214	188
532	214	188
533	215	187
534	215	187
535	215	186
536	216	186
537	216	185
538	216	185
539	216	184
540	217	184
541	217	183
542	217	183
543	218	182
544	218	182
545	218	181
546	218	181
547	219	180
548	219	180
549	219	179
550	219	179
551	220	178
552	220	178
553	220	177
554	220	177
555	221	176
556	221	176
557	221	175
558	221	175
559	222	174
560	222	174
561	222	173
562	223	173
563	223	172
564	223	172
565	224	171
566	224	171
567	224	170
568	225	170
569	225	170
570	225	169
571	225	169
572	226	168
573	226	168
574	226	167
575	227	167
576	227	166
577	227	166
578	227	165
579	228	165
580	228	164
581	228	164
582	229	163
583	229	163
584	229	162
585	229	162
586	230	161
587	230	161
588	230	160
589	230	160
590	231	160
591	231	159
592	231	159
593	232	158
594	232	158
595	232	157
596	232	157
597	233	156
598	233	156
599	233	155
600	234	155
601	234	154
602	234	154
603	235	154
604	235	153
605	235	153
606	235	152
607	236	152
608	236	151
609	236	151
610	236	150
611	237	150
612	237	149
613	237	149
614	237	148
615	238	148
616	238	148
617	238	147
618	239	147
619	239	146
620	239	146
621	240	145
622	240	145
623	240	145
624	240	144
625	241	144
626	241	143
627	241	143
628	242	142
629	242	142
630	242	141
631	242	141
632	243	140
633	243	140
634	243	140
635	243	139
636	244	139
637	244	138
638	244	138
639	245	137
640	245	137
641	245	136
642	245	136
643	246	136
644	246	135
645	246	135
646	247	134
647	247	134
648	247	133
649	247	133
650	248	133
651	248	132
652	248	132
653	248	131
654	249	131
655	249	130
656	249	130
657	250	129
658	250	129
659	250	129
660	250	128
661	251	128
662	251	127
663	251	127
664	251	126
665	252	126
666	252	126
667	252	125
668	253	125
669	253	124
670	253	124
671	254	124
672	254	123
673	255	123
674	255	122
675	255	122
676	255	122
677	256	121
678	256	121
679	256	120
680	257	120
681	257	119
682	257	119
683	257	119
684	258	118
685	258	118
686	258	117
687	258	117
688	259	116
689	259	116
690	259	116
691	259	115
692	260	115
693	260	114
694	260	114
695	260	113
696	261	113
697	261	113
698	261	112
699	262	112
700	262	111
701	262	111
702	263	111
703	263	110
704	263	110
705	263	109
706	264	109
707	264	109
708	264	108
709	265	108
710	265	107
711	265	107
712	265	107
713	266	106
714	266	106
715	266	105
716	266	105
717	267	104
718	267	104
719	267	104
720	268	103
721	268	103
722	268	102
723	269	102
724	269	102
725	269	101
726	270	101
727	270	100
728	270	100
729	270	100
730	271	99
731	271	99
732	271	98
733	271	98
734	272	98
735	272	97
736	272	97
737	273	96
738	273	96
739	273	96
740	273	95
741	274	95
742	274	94
743	274	94
744	274	94
745	275	93
746	275	93
747	275	92
748	275	92
749	276	92
750	276	91
751	276	91
752	277	90
753	277	90
754	277	90
755	278	89
756	278	89
757	278	88
758	278	88
759	279	88
760	279	87
761	279	87
762	279	86
763	280	86
764	280	86
